sa1731,HLA-DRA,s676,HLA-DRA_rna
sa1732,HLA-DRB4,s675,HLA-DRB4_rna
sa1733,HLA-DQA1,s677,HLA-DQA1_rna
sa1734,HLA-DQA2,s678,HLA-DQA2_rna
sa1736,IFI27_rna,s2275,STAT1/STAT2/IRF9_complex_nucleus
sa1737,IFI27,s2276,IFI27_rna
sa1739,LXA4,s2279,LXA4
sa1740,CCL23,s2280,CCL23
sa1742,CCL21_Extracellular_ligands,s2281,CCL21_Extracellular_ligands
sa1743,XCL1,s2282,XCL1
sa1744,XCL2,s2283,XCL2
sa1745,CD80,s2284,CD80
sa1746,CD86,s2285,CD86
sa1761,NFKBIA,s276,NFKBIA_rna
sa1762,SHISA5,s2310,SHISA5_rna
sa1763,CCL3,s2311,IRF5_nucleus
sa1764,CCL4,s2312,(IRF5_nucleus|RELA/NFKB1_complex)
sa1766,MDM2_rna,s2314,TP53_phosphorylated
sa1768,STAT3_phosphorylated,s2321,JAK2_phosphorylated
sa1769,STAT3 homodimer_phosphorylated_Cell,s2322,STAT3_phosphorylated
sa1771,STAT3 homodimer_phosphorylated_nucleus,s2324,STAT3 homodimer_phosphorylated_Cell
sa179,Lymphoid_organ_development_phenotype,s256,(NFKB2/RELB_complex|CX3CL1/CX3CR1_complex)
sa187,EDARADD,s265,EDA/EDAR_complex
sa20,STAT1_phosphorylated,s44,(JAK1_phosphorylated|TYK2_phosphorylated)&STAT1
sa203,IL15,s297,(RELA/NFKB1_complex|CpG_DNA/TLR9_complex|TLR7/ssRNA_complex)
sa206,ssRNA_simple_molecule,s302,ssRNA_simple_molecule
sa21,STAT2_phosphorylated,s43,TYK2_phosphorylated
sa214,dsRNA/polyIC_simple_molecule,s312,dsRNA/polyIC_simple_molecule
sa219,CpG_DNA_simple_molecule,s319,CpG_DNA_simple_molecule
sa222,IRF7_Cell,s322,IRF7_rna
sa223,IRF3,s2188,IKBKE/TBK1_complex
sa225,IRF7_nucleus,s2179,IRF7_Cell&IKBKE/TBK1_complex
sa238,TRAF3,s347,(TICAM1|MAVS)
sa241,TICAM1,s444,(TLR3/dsRNA/PolyIC_complex|TICAM2)
sa248,MAP3K7_phosphorylated,s820,TAB1/TAB2/TAB3_complex
