alias_id,species_id,biological_name
sa1750,s2287,s2287
sa1751,s2293,s2293
sa1752,s2294,s2294
sa1754,s2296,s2296
sa1755,s2297,s2297
sa1757,s2298,s2298
sa1758,s2299,s2299
sa1759,s2300,s2300
sa1760,s2301,s2301
sa1761,s276,NFKBIA
sa1762,s2310,SHISA5
sa1763,s2311,CCL3
sa1764,s2312,CCL4
sa1765,s2313,MDM2
sa1766,s2314,MDM2
sa1767,s2320,STAT3
sa1768,s2321,STAT3
sa1769,s2322,STAT3 homodimer
sa177,s2173,s2173
sa1771,s2324,STAT3 homodimer
sa178,s2174,s2174
sa179,s256,Lymphoid_organ_development
sa183,s261,s261
sa185,s263,s263
sa186,s264,EDARADD
sa187,s265,EDARADD
sa20,s44,STAT1
sa200,s294,IL15
sa201,s295,IL15
sa203,s297,IL15
sa204,s300,TLR7
sa205,s301,TLR8
sa206,s302,ssRNA
sa207,s305,s305
sa208,s306,s306
sa209,s307,s307
sa21,s43,STAT2
sa210,s308,s308
sa211,s309,TLR3
sa214,s312,dsRNA/polyIC
sa215,s313,TLR9
sa217,s317,s317
sa218,s318,s318
sa219,s319,CpG_DNA
sa22,s1549,s1549
sa220,s320,s320
sa221,s321,IRF3
sa222,s322,IRF7
sa223,s2188,IRF3
sa225,s2179,IRF7
sa226,s326,TRAF3
sa23,s1548,s1548
sa231,s338,IFNA
sa232,s339,IFNB1
sa233,s340,IFNA
sa234,s341,IFNB1
sa238,s347,TRAF3
sa239,s360,s360
sa24,s720,s720
sa240,s352,TICAM1
sa241,s444,TICAM1
sa243,s363,s363
sa244,s358,s358
sa245,s364,s364
sa246,s365,IRF3
sa247,s366,IRF7
sa248,s820,MAP3K7
sa249,s369,s369
sa250,s1001,s1001
sa253,s373,s373
sa254,s379,IFNB1
sa255,s381,s381
sa256,s382,s382
sa257,s383,s383
sa258,s387,STAT1
sa259,s385,HDAC3
sa260,s386,STAT2
sa261,s384,STAT1
sa262,s394,s394
sa263,s395,s395
sa267,s399,IFNA
sa268,s400,IFNB1
sa269,s408,PI3K
sa270,s402,AKT
sa272,s401,PI3K
sa277,s409,IL7
sa279,s412,s412
sa28,s2169,s2169
sa286,s425,s425
sa287,s427,s427
sa288,s428,s428
sa289,s429,s429
sa29,s2170,s2170
sa290,s430,JAK3
sa291,s433,JAK3
sa295,s435,STAT5A/B
sa297,s436,STAT5A/B
sa3,s53,s53
sa30,s2171,s2171
sa300,s438,TOX
sa301,s439,T_Cell_Activation/Differentiation
sa302,s440,TOX
sa303,s441,TOX
sa310,s455,s455
sa311,s456,s456
sa312,s458,s458
sa313,s459,s459
sa316,s462,STAT4
sa317,s463,STAT4
sa321,s2013,s2013
sa322,s473,s473
sa323,s474,s474
sa324,s2037,s2037
sa325,s479,s479
sa326,s478,s478
sa327,s475,antigen
sa328,s476,s476
sa331,s483,LYN
sa332,s484,SYK
sa334,s486,SYK
sa335,s487,LYN
sa336,s488,"PI(4,5)P2"
sa337,s489,"PI(3,4,5)P3"
sa341,s491,BTK
sa342,s492,BTK
sa347,s497,DAG
sa361,s515,ca2
sa362,s511,ca2
sa363,s517,CALM1
sa364,s519,s519
sa365,s518,s518
sa366,s520,RCAN
sa367,s521,RCAN
sa373,s527,B_Cell_Activation/Survival
sa383,s544,SOCS1
sa384,s545,IP6K2
sa385,s546,ISG20
sa386,s547,ADAR
sa387,s548,ISG15
sa388,s549,OAS1
sa389,s550,OAS2
sa390,s551,OAS3
sa391,s552,OASL
sa392,s553,RSAD2
sa393,s554,IFI35
sa394,s555,IFIT2
sa395,s556,IFIT3
sa396,s557,IFIT5
sa397,s558,MX1
sa398,s559,MX2
sa399,s560,IFITM1
sa4,s54,JAK1
sa400,s561,IFITM2
sa401,s562,GBP2
sa402,s563,XAF1
sa403,s564,IFITM3
sa404,s565,IFI6
sa405,s566,BST2
sa406,s567,IFIT1
sa407,s568,EIF2AK2
sa408,s569,KPNB1
sa409,s570,HLA-A
sa410,s571,HLA-B
sa411,s572,HLA-C
sa412,s573,HLA-G
