source_alias,relation,target_alias,source_name,target_name
sa1201,POSITIVE,sa1703,CCL2,Angiogenesis
sa1461,POSITIVE,sa1184,CXCL9,Chemotaxis/Infiltration
sa1462,POSITIVE,sa1184,CXCL10,Chemotaxis/Infiltration
sa1462,POSITIVE,sa1703,CXCL10,Angiogenesis
sa1463,POSITIVE,sa1184,CXCL11,Chemotaxis/Infiltration
sa1605,POSITIVE,sa1184,CCL13,Chemotaxis/Infiltration
sa1606,POSITIVE,sa1184,CCL19,Chemotaxis/Infiltration
sa1607,POSITIVE,sa1184,CCL21,Chemotaxis/Infiltration
sa1598,POSITIVE,sa1184,CXCL1,Chemotaxis/Infiltration
sa1598,POSITIVE,sa1703,CXCL1,Angiogenesis
sa1601,POSITIVE,sa1184,VCAM1,Chemotaxis/Infiltration
sa1617,NEGATIVE,sa1210,MDM2,TP53
sa1218,POSITIVE,sa1223,HNRNPA2B1,HNRNPA2B1
sa1219,POSITIVE,sa1224,RPLP0,RPLP0
sa1220,POSITIVE,sa1225,ARF1,ARF1
sa1221,POSITIVE,sa1226,PSME2,PSME2
sa1222,POSITIVE,sa1227,LMNB1,LMNB1
sa1296,POSITIVE,sa1235,LAT,PLCG
sa1296,POSITIVE,sa1302,LAT,GRB2
sa1530,POSITIVE,sa1243,"MAPK11,12,13,14",JUN
sa1530,POSITIVE,sa1244,"MAPK11,12,13,14",FOS
sa1530,POSITIVE,sa1611,"MAPK11,12,13,14",MAX
sa1279,POSITIVE,sa1243,MAPK3,JUN
sa1279,POSITIVE,sa1244,MAPK3,FOS
sa1256,POSITIVE,sa1258,SOCS3,SOCS3
sa1269,POSITIVE,sa1301,SRC,SHC1
sa1271,POSITIVE,sa1279,MAP2K1,MAPK3
sa1305,POSITIVE,sa1271,RAF,MAP2K1
sa1301,POSITIVE,sa1302,SHC1,GRB2
sa1302,POSITIVE,sa1303,GRB2,SOS2
sa1303,POSITIVE,sa1304,SOS2,RRAS
sa1304,POSITIVE,sa1305,RRAS,RAF
sa1521,POSITIVE,sa1316,MAP2K7,"MAPK8,9,10"
sa1522,POSITIVE,sa1316,MAP2K4,"MAPK8,9,10"
sa1688,POSITIVE,sa1322,FAS,FAS
sa1336,POSITIVE,sa1339,DAXX,MAP3K5
sa1371,POSITIVE,sa1378,SNAI1,SNAI1
sa1376,POSITIVE,sa1377,VIM,Fibrosis
sa1378,POSITIVE,sa1376,SNAI1,VIM
sa1609,NEGATIVE,sa1385,CFLAR,CASP8
sa1446,POSITIVE,sa1447,LAMP3,LAMP3
sa1452,POSITIVE,sa1725,"CD80,86","CD80,86"
sa665,POSITIVE,sa1685,RIPK1,RIPK1
sa1684,POSITIVE,sa665,RIPK1,RIPK1
sa1567,POSITIVE,sa1609,CFLAR,CFLAR
sa1568,POSITIVE,sa1614,XIAP,XIAP
sa1582,POSITIVE,sa1761,NFKBIA,NFKBIA
sa1619,POSITIVE,sa1596,TNFRSF10A,"TNFRSF10A,B"
sa1614,POSITIVE,sa1691,XIAP,XIAP
sa1615,POSITIVE,sa1617,MDM2,MDM2
sa1766,POSITIVE,sa1615,MDM2,MDM2
sa1626,NEGATIVE,sa1703,CD82,Angiogenesis
sa1627,POSITIVE,sa1762,SHISA5,SHISA5
sa1644,POSITIVE,sa1690,BST2,MARCHF8
sa1645,NEGATIVE,sa1691,XAF1,XIAP
sa1693,POSITIVE,sa1697,ETS1,ETS1
sa1698,POSITIVE,sa1693,SP100,ETS1
sa1697,POSITIVE,sa1699,ETS1,MMP9
sa1699,POSITIVE,sa1700,MMP9,Matrix_degradation
sa1736,POSITIVE,sa1737,IFI27,IFI27
sa1768,POSITIVE,sa1769,STAT3,STAT3 homodimer
sa1769,POSITIVE,sa1771,STAT3 homodimer,STAT3 homodimer
